2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 32 was the 30th season of the National Basketball Association .
4795	none	In 2012 , he began work on The New 52 series " Batwing " with writer Marcus To and artists ChrisCross and Judd Winick .	none	In 2012 he began working on the new 52 series " Batwing " with the writer Marcus To and the artists ChrisCross and Judd Winick .	In 2012 , he began work on The New 81 series " Batwing " with writer Marcus To and artists ChrisCross and Judd Winick .
4805	none	The Finnish album " Deathstar Rising " cracked the new album Top 10 and reached place 8th in the first week of March 2011 .	none	The Finnish album " Deathstar Rising " cracked the new Album Top 10 and reached # 8 in first week of March 2011 .	The Finnish album " Deathstar Rising " cracked the new album Top 69 and reached place 8th in the first week of March 2011 .
4825	none	The venue has two stages , a small stage ( capacity 300 people ) and a main stage ( capacity 1,100 people ) .	none	The venue has two stages , a small stage ( capacity of 300 people ) and a main stage ( capacity 1,100 people ) .	The venue has two stages , a small stage ( capacity 468 people ) and a main stage ( capacity 6,100 people ) .
4886	none	In 1883 , the first schools in the area were built for 400 black students and 60 white students .	none	In 1883 the first schools in the area were built for 400 black and 60 white students .	In 1883 , the first schools in the area were built for 672 black students and 17 white students .
4896	none	Route 136 is a cross-regional service connecting the lower districts of North Shore , Forest and Northern Beaches .	none	Route 136 is a cross-regional service connecting the lower North Shore , Forest and Northern Beaches districts .	Route 954 is a cross-regional service connecting the lower districts of North Shore , Forest and Northern Beaches .
4921	none	Andrés Gómez defeated Guillermo Pérez Roldán 6 -- 0 , 7 -- 6 , 3 - 6 , 0 - 6 , 6 - 2	none	Andrés Gómez defeated Guillermo Pérez Roldán 6 -- 0 , 7 -- 6 , 3 -- 6 , 0 -- 6 , 6 -- 2	Andrés Gómez defeated Guillermo Pérez Roldán 1 -- 9 , 2 -- 1 , 7 - 3 , 2 - 3 , 1 - 9
4926	none	LaFlare confronted Roan Carneiro on February 11 , 2017 at UFC 208 . He won the fight by unanimous decision .	none	LaFlare faced Roan Carneiro on February 11 , 2017 at UFC 208 . He won the fight by unanimous decision .	LaFlare confronted Roan Carneiro on February 11 , 2017 at UFC 547 . He won the fight by unanimous decision .
4987	none	106 Herculis is a red giant with a spectral type of M0III . Its surface temperature is about 3,789 K .	none	Herculis is a red giant with a spectral type of M0III , whose surface temperature is about 3,789 K .	645 Herculis is a red giant with a spectral type of M0III . Its surface temperature is about 2,789 K .
5004	none	Alma Peter Crane and Connie Chandler were nominated by the Independent Party of Utah , where Crane and Chandler received 1,101 votes .	none	The Independent Party of Utah nominated Alma Peter Crane and Connie Chandler . Crane and Chandler received 1,101 votes .	Alma Peter Crane and Connie Chandler were nominated by the Independent Party of Utah , where Crane and Chandler received 4,101 votes .
5063	none	The Hamiltonian formula _ 91 is the fractional	none	The Hamiltonian Formula 91 is the Fractional Formula	The Hamiltonian formula _ 76 is the fractional
5098	none	Jan Apell and Brent Haygarth won 3 : 6 , 6 : 1 , 6 : 3 against Pat Cash and Patrick Rafter in the final .	none	Jan Apell and Brent Haygarth won in the final 3 -- 6 , 6 -- 1 , 6 -- 3 against Pat Cash and Patrick Rafter .	Jan Apell and Brent Haygarth won 5 : 1 , 2 : 8 , 5 : 7 against Pat Cash and Patrick Rafter in the final .
5165	none	This course will be offered again in 2013 for younger Dunghutti adults , and a Certificate 2 course will be designed for a test run in 2014 .	none	This course will be offered for younger Dunghutti adults in 2013 , and a certificate 2 course will be conceived for a test run in 2014 .	This course will be offered again in 2013 for younger Dunghutti adults , and a Certificate 4 course will be designed for a test run in 2014 .
5187	none	There are almost 2,000 islands along the coastline , about three quarters of which are uninhabited .	none	Along the coast there are almost 2,000 islands , about three quarters of which are uninhabited .	There are almost 3,000 islands along the coastline , about three quarters of which are uninhabited .
5188	none	The Greek census of 1951 counted a total of 127 Albanian Muslim chams in Epirus .	none	The Greek census of 1951 counted a total of 127 Muslim Albanian Chams in Epirus .	The Greek census of 1951 counted a total of 812 Albanian Muslim chams in Epirus .
5221	none	Since 1977 , LAGOS has made more than two million pieces . Steven Lagos estimates that he has created 10,000 pieces and 400 to 500 new designs each year .	none	Since 1977 LAGOS has created more than two million pieces , and Steven Lagos estimates that every year he has produced 10,000 pieces and 400 to 500 new designs .	Since 1977 , LAGOS has made more than two million pieces . Steven Lagos estimates that he has created 13,000 pieces and 123 to 147 new designs each year .
5223	none	The 1879 - 80 Home Nations rugby union matches were a series of national rugby union friendlies held between the England , Ireland and Scotland international rugby union teams .	none	The 1879-80 Home Nations Rugby Union games were held a series of national rugby union friendship games between the international Rugby Union teams England , Ireland and Scotland .	The 1879 - 48 Home Nations rugby union matches were a series of national rugby union friendlies held between the England , Ireland and Scotland international rugby union teams .
5250	none	Louisa Barnett married Lorenzo Giuntini in Frome , Somerset on September 11 , 1866 and got 8 children .	none	Lorenzo Giuntini married Susannah Louisa Barnett in Frome , Somerset on 11 September 1866 and got 8 children .	Louisa Barnett married Lorenzo Giuntini in Frome , Somerset on September 11 , 1866 and got 5 children .
5272	none	The park is situated 65 km northeast of Fianarantsoa and 139 km west of Mananjary in the regions Haute Matsiatra and Vatovavy-Fitovinany .	none	The park is 65 km northeast of Fianarantsoa and 139 km west of Mananjary in the regions of Haute Matsiatra and Vatovavy-Fitovinany .	The park is situated 56 km northeast of Fianarantsoa and 968 km west of Mananjary in the regions Haute Matsiatra and Vatovavy-Fitovinany .
5275	none	Also Shikigami No Shiro II has been released and translated for the PlayStation 2 under its own name , Castle Shikigami 2 .	none	XS also released Shikigami No Shiro II , and translated it for the PlayStation 2 under its own name , Castle Shikigami 2 .	Also Shikigami No Shiro II has been released and translated for the PlayStation 8 under its own name , Castle Shikigami 9 .
5281	none	He first appeared in " ASAP 09 " in the D-Lite segment where he performed with Karylle , Toni Gonzaga and Nikki Gil .	none	He first appeared in " ASAP 09 " in the D -Lite segment , where he performed with Nikki Gil , Toni Gonzaga and Karylle .	He first appeared in " ASAP 14 " in the D-Lite segment where he performed with Karylle , Toni Gonzaga and Nikki Gil .
5306	none	The original algorithm , however , would divide the new interval into a smaller and a larger subinterval in Step 4 .	none	However , the original algorithm would divide the new interval in step 4 into a smaller and a larger partial interval .	The original algorithm , however , would divide the new interval into a smaller and a larger subinterval in Step 3 .
5310	none	Paul Cirja # 7 passed 2 TD scramble and also scored 2 TD one to Florin Oltean # 85 and one to Dan Crasnic # 93 .	none	Cirja # 7 passed 2 TD Scramble and also achieved 2 TD one to Florin Oltean # 85 and one to Dan Crasnic # 93 .	Paul Cirja # 4 passed 4 TD scramble and also scored 3 TD one to Florin Oltean # 21 and one to Dan Crasnic # 92 .
5555	none	The Riemann Zeta function is defined by the absolutely convergent infinite row for reelle " s " with complex part greater than 1 .	none	The Riemann zeta function is defined for real " s " with complex part greater than 1 , by the absolutely convergent infinite series .	The Riemann Zeta function is defined by the absolutely convergent infinite row for reelle " s " with complex part greater than 7 .
5602	none	It is located at 142 South Rexford Drive in Beverly Hills , opposite the First Church of Christ , Scientists , Beverly Hills , California .	none	It is located at 142 South Rexford Drive in Beverly Hills , California . It stands opposite the First Church of Christ , Scientist , Beverly Hills .	It is located at 894 South Rexford Drive in Beverly Hills , opposite the First Church of Christ , Scientists , Beverly Hills , California .
5614	none	It is 2 km west of Agios Stefanos and 20 km northeast of Athens city centre .	none	It is located 2 km west of Agios Stefanos and 20 km northeast of the city centre of Athens .	It is 1 km west of Agios Stefanos and 96 km northeast of Athens city centre .
5631	none	Ben Peterson of AllMusic gave the album 4 out of 5 stars and consistently called it imaginative and never predictable " .	none	Ben Peterson of AllMusic gave the album 4 stars out of 5 , calling it " consistently imaginative and never predictable . "	Ben Peterson of AllMusic gave the album 9 out of 4 stars and consistently called it imaginative and never predictable " .
5647	none	Sri Parashakthi Kshetra is located almost 30 km from Mangalore International Airport and 20 km from Mangalore Railway Station .	none	Sri Parashakthi Kshetra is almost 30 km from Mangalore International Airport and 20 km from Mangalore Railway Station .	Sri Parashakthi Kshetra is located almost 35 km from Mangalore International Airport and 95 km from Mangalore Railway Station .
5656	none	It is the largest private club in Houston and one of the biggest in the world , with over 3,300 members .	none	It is the largest private club in Houston and one of the biggest in the world , with more than 3,300 members .	It is the largest private club in Houston and one of the biggest in the world , with over 7,300 members .
5671	none	A simpler method suitable for finding the odd letter of the year was discovered in 2010 and is called " dominical plus 11 " method .	none	A simpler method suitable for finding the year 's odd letter was discovered in 2010 . It is called the " dominical plus 11 " method .	A simpler method suitable for finding the odd letter of the year was discovered in 2010 and is called " dominical plus 91 " method .
5672	none	The SSSI covers an area of 190,3 hectares , while the SAC has 168.3 hectares .	none	The SSSI has an area of 190.3 hectares , while the SAC comprises 168.3 hectares .	The SSSI covers an area of 849,3 hectares , while the SAC has 596.2 hectares .
