4955	10 月 3 日：菲尔·图夫尼尔击败詹姆斯·休伊特（命中飞镖双倍区 1 分位置）	3 October: Phil Tufnell defeated James Hewitt (winning Dart Double 1)	October 3: Phil Tufnell beats James Hewitt (1st place in the darts double)	3 October: Phil Tufnell beat James Hewitt (winning dart double 1)	3 October: Phil Tufnell defeated Caleb Hewitt (winning Dart Double 1)	October 3: Cody Tufnell beats James Hewitt (1st place in the darts double)
6948	安德鲁·麦克伦南（出生时为安德鲁·斯诺伊德）是新西兰音乐家、歌唱家和词曲作家。	Andrew McLennan born Andrew Snoid is a New Zealand musician, singer, and songwriter.	Andrew McLennan (born Andrew Snowy) is a New Zealand musician, singer and songwriter.	Andrew McLennan Andrew Snoid is a New Zealand musician, songwriter and singer.	Nathan McLennan born Nathan Snoid is a New Zealand musician, singer, and songwriter.	Kevin McLennan (born Kevin Snowy) is a New Zealand musician, singer and songwriter.
153	保皇派在卡托巴河西侧扎营，查尔斯·康沃利将军的军队驻扎在东侧。	The loyalists had camped on the west side of the Catawba River, while the army of General Charles Cornwalli camped on the east side.	The Royalists camped on the west side of the Catawba River, and the army of General Charles Cornwally was stationed on the east side.	The loyalists were camped on the west side of Catawba River, while the army of General Charles Cornwallis camped on the eastern side.	The loyalists had camped on the west side of the Catawba River, while the army of General Steven Cornwalli camped on the east side.	The Royalists camped on the west side of the Catawba River, and the army of General Connor Cornwally was stationed on the east side.
2977	歌曲《相信我》由内德·威夫、弥尔顿·阿格尔和珍·史华兹创作而成。	``Trust in Me ''is a song that was written by Ned Wever, Milton Ager and Jean Schwartz.	The song "Trust Me" was written by Ned Weiff, Milton Agger and Jane Schwartz.	``Trust in Me ''is a song by Jean Schwartz, Milton Ager and Ned Wever written.	``Trust in Me ''is a song that was written by Ned Wever, Angel Ager and Jean Schwartz.	The song "Trust Me" was written by Paul Weiff, Milton Agger and Jane Schwartz.
1304	此外，为争夺美国冠军，冠军杰克·史威格、米兹和科菲·京斯顿展开了一场三重威胁赛。	Furthermore, a triple threat match for the United States Championship was between Champion Jack Swagger, The Miz and Kofi Kingston.	In addition, for the U.S. championship, champions Jack Schweiger, Miz and Kofi Kingston fought a triple threat match.	Next was a Triple Threat match for the United States Championship between champion Jack Swagger, The Miz and Kofi Kingston.	Furthermore, a triple threat match for the United States Championship was between Champion Jack Swagger, The Miz and Kofi Kevin.	In addition, for the U.S. championship, champions Joseph Schweiger, Miz and Kofi Kingston fought a triple threat match.
7200	1937 年，唐纳德成为多伦多枫叶棒球队的共同所有人，他的儿子罗斯担任俱乐部主席。	In 1937, Donald became co-owner of the baseball team of Toronto Maple Leafs, his son Ross became club president.	In 1937, Donald became co-owner of the Toronto Maple Leafs baseball team, with his son Ross serving as club president.	In 1937, Donald became co-owner of the Toronto Maple Leafs baseball team. His son, Ross became club president.	In 1937, Kevin became co-owner of the baseball team of Toronto Maple Leafs, his son Ross became club president.	In 1937, Alex became co-owner of the Toronto Maple Leafs baseball team, with his son Ross serving as club president.
7213	大卫·I·沃尔什最近的传记作者写道：“摧毁沃尔什的活动起了作用，因为他无法为自己辩护……大卫·I·沃尔什是同性恋者。”	David I. Walsh's most recent biographer writes that ``The campaign to destroy Walsh worked because he could not defend himself... David I. Walsh was gay. ''	A recent biographer of David I. Walsh wrote: "The campaign to destroy Walsh worked because he was unable to defend himself... David I. Walsh was gay."	The recent biographer of David I. Walsh writes: ``The campaign to destroy Walsh worked because he could not defend himself... David I. Walsh was gay.	David I. Walsh's most recent biographer writes that ``The campaign to destroy Walsh worked because he could not defend himself... David I. Walsh was gay. ''	A recent biographer of Patrick I. Walsh wrote: "The campaign to destroy Walsh worked because he was unable to defend himself... Patrick I. Walsh was gay."
3132	2012 年，亚德里安·比劳发行《树屋》，这是他的第六张单曲唱片，在田纳西州纳什维尔由音乐家内德·埃维特制作。	In 2012, Adrian Belew released ``Treehouse '', his sixth solo record, produced in Nashville Tennessee by musician Ned Evett.	In 2012, Adrian Bilau released "Treehouse," his sixth single, produced by musician Ned Everett in Nashville, Tennessee.	In 2012, Adrian Belew ``Treehouse ''released his sixth solo record, produced in Nashville Tennessee by musician Ned Evett.	In 2012, Mason Belew released ``Treehouse '', his sixth solo record, produced in Nashville Tennessee by musician Ned Evett.	In 2012, Adrian Bilau released "Treehouse," his sixth single, produced by musician Ned Andrew in Nashville, Tennessee.
3944	安迪看到罗伯特和凯蒂在一起并将此事告诉了达兹。	Andy sees Robert and Katie together and tells it Daz.	Andy saw Robert and Katie together and told Daz about it.	Andy sees Robert and Katie together and tells Daz.	Andy sees Zachary and Katie together and tells it Daz.	Andy saw Aaron and Katie together and told Daz about it.
5238	该影片由 Jembie Almazan 主演玛丽，Bernardo Garnica Cruz 饰演大卫，并由乔纳森·迪亚斯·安古洛饰演亚历克斯。	The film Stars Jembie Almazan as Mary, Bernardo Garnica Cruz as David and Jonathan Diaz Angulo as Alex.	The film stars Jembie Almazan as Mary, Bernardo Garnica Cruz as David, and Jonathan Diaz Angulo as Alex.	The film stars Jembie Almazan as Maria, Bernardo Garnica Cruz as David and Jonathan Diaz Angulo as Alex.	The film Stars Jembie Almazan as Mary, Bernardo Garnica Cruz as Mason and Jonathan Diaz Angulo as Alex.	The film stars Jembie Almazan as Mary, Bernardo Garnica Cruz as Liam, and Jonathan Diaz Angulo as Alex.
4021	后来，安德鲁在袭击昂古莱姆伯爵阿德赫马尔期间，加入了理查德的部队。	Later, Andrew would be Richard's forces during the attack on Adhemar, count of Angoulême.	Andrew later joined Richard's forces during the attack on Adhemar, Count of Angoulême.	Later, during the attack on Adhemar, Count of Angoulême, Andrew was to be Richard's forces.	Later, Andrew would be Jesse's forces during the attack on Adhemar, count of Angoulême.	Gregory later joined Richard's forces during the attack on Adhemar, Count of Angoulême.
4935	Kapp 和 MCA 是在 70 年代为雪儿带来更大成功的公司，她在 1974 年之前一直与其保持合作。	Kapp and MCA were the labels that Cher had more success with in the seventies and remained with them until 1974.	Kapp and MCA were the companies that brought Cher even more success in the 70s, with which she continued until 1974.	Kapp and MCA were the labels with which Cher had more success in the seventies and she remained with them until 1974.	Kapp and MCA were the labels that Brittany had more success with in the seventies and remained with them until 1974.	Kapp and MCA were the companies that brought Courtney even more success in the 70s, with which she continued until 1974.
319	2016 年 11 月 13 日，丹尼斯·华莱士在晓臣市附近的福克斯·格罗夫公园谋杀了大卫·马查多。	On November 13, 2016, David Machado was murdered in Fox Grove Park near the city of Hughson by Dennis Wallace.	On November 13, 2016, Dennis Wallace murdered David Machado in Fox Grove Park, near the city of Johnson.	On November 13, 2016, Deputy David Machado was murdered in Fox Grove Park near the City of Hughson by Dennis Wallace.	On November 13, 2016, Isaiah Machado was murdered in Fox Grove Park near the city of Hughson by Dennis Wallace.	On November 13, 2016, Dennis Hunter murdered David Machado in Fox Grove Park, near the city of Johnson.
6048	他曾在比利·艾克斯廷的乐队录制唱片，并于 1946 年加入莱昂内尔·汉普顿乐队。	He recorded with Billy Eckstine's band and played the Lionel Hampton band in 1946.	He recorded with Billy Extin's band and joined Lionel Hampton in 1946.	He recorded with Billy Eckstine's band and in 1946, he played with the Lionel Hampton band.	He recorded with Jordan Eckstine's band and played the Lionel Hampton band in 1946.	He recorded with Billy Extin's band and joined Chad Hampton in 1946.
3136	他是托马斯·凯恩斯及其妻子简·斯科特（约翰·斯科特之女）的儿子。	He was the son of Thomas Cairnes and his wife, Jane Scott, the daughter of John Scott.	He was the son of Thomas Keynes and his wife Jane Scott (daughter of John Scott).	He was the son of Thomas Cairnes and his wife Jane Scott, daughter of John Scott.	He was the son of Thomas Cairnes and his wife, Jane Scott, the daughter of Jonathan Scott.	He was the son of Thomas Keynes and his wife Jane Ian (daughter of John Ian).
4206	校区过去位于湾柴和西贡，之后于 2013 年 8 月搬至坚尼地城的新地址。	The campus was located in Wan Chai and Sai Kung and moved to its new site in Kennedy Town in August 2013.	The campus used to be located in Wan Chai and Sai Kung before moving to a new location in Kennedy Town in August 2013.	The campus was located in Wan Chai and Sai Kung. In August 2013 the school moved to its new permanent site in Kennedy Town.	The campus was located in Wan Robert and Sai Kung and moved to its new site in Kennedy Town in August 2013.	The campus used to be located in Wan Gabriel and Sai Kung before moving to a new location in Kennedy Town in August 2013.
5258	泰勒仍旧活跃于棒球界，直至去世前一直为亚特兰大勇士队、密尔瓦基队和芝加哥白袜队担任球探。	Taylor remained active in baseball until his death as a scout for the Atlanta Braves and Milwaukee and Chicago White Sox.	Taylor remained active in baseball, serving as a scout for the Atlanta Braves, Milwaukee and Chicago White Sox until his death.	Taylor remained active until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.	Angela remained active in baseball until his death as a scout for the Atlanta Braves and Milwaukee and Chicago White Sox.	Brittany remained active in baseball, serving as a scout for the Atlanta Braves, Milwaukee and Chicago White Sox until his death.
7482	该集由由托尼·戈德温处理，编剧是马特·拜伦和马克·费什。	The episode was addressed by Tony Goldwyn and written by Matt Byrne and Mark Fish.	The episode is being handled by Tony Goldwyn and written by Matt Byron and Mark Fish.	The episode was written by Matt Byrne and Mark Fish and directed by Tony Goldwyn.	The episode was addressed by Scott Goldwyn and written by Matt Byrne and Mark Fish.	The episode is being handled by Tony Goldwyn and written by Eric Byron and Mark Fish.
5407	五月，斯潘塞·麦克拉伦抵达并饰演基兰·弗莱彻，该角色是已经确立的角色莎莉·弗莱彻（凯特·里奇）的爱慕对象。	In May, Spencer McLaren arrived as Kieran Fletcher, a love interest for the established character Sally Fletcher (Kate Ritchie).	In May, Spencer McLaren arrived to play Kieran Fletcher, the love interest of established character Sally Fletcher (Kate Ritchie).	In May, Spencer McLaren arrived as Kieran Fletcher, a love interest for established character Sally Fletcher (Kate Ritchie).	In May, Spencer McLaren arrived as Kieran Jonathan, a love interest for the established character Sally Jonathan (Kate Ritchie).	In May, Sean McLaren arrived to play Kieran Fletcher, the love interest of established character Sally Fletcher (Kate Ritchie).
5591	该物种最初于 1846 年由植物学家斯特凡·恩德利歇将其作为约翰·格奥尔·克里斯汀·莱曼的著作`` Irideae Plantae Preissianae '' 的部分内容做出正式描述。	The species was first formally described by the botanist Stephan Endlicher in 1846 as part of the work ``Irideae Plantae Preissianae ''by Johann Georg Christian Lehmann.	The species was first formally described in 1846 by botanist Stefan Endricher as part of Johann Georg Christian Lehmann's book 'Irideae Plantae Preissianae'.	The species was first formally described by the botanist Stephan Endlicher in 1846 as part of Johann Georg Christian Lehmann's work ``Irideae. Plantae Preissianae ''.	The species was first formally described by the botanist Christian Endlicher in 1846 as part of the work ``Irideae Plantae Preissianae ''by Johann Georg Christian Lehmann.	The species was first formally described in 1846 by botanist Jeremy Endricher as part of Johann Georg Christian Lehmann's book 'Irideae Plantae Preissianae'.
6294	“2”在太平绅士史蒂芬·福特的主婚下，本杰明·霍夫于 1806 年 8 月 29 日在杰佛逊县与伊丽莎白·科尔完婚。	``2 ''Benjamin Hough was married on August 29, 1806 by Stephen Ford, Justice of Peace, in Jefferson County with Elizabeth Core.	"2" Benjamin Hough married Elizabeth Cole on August 29, 1806, in Jefferson County, at the head of Stephen Ford, JP.	Benjamin Hough was to married Elizabeth Core on August 29, 1806, by Stephen Ford, justice of the Peace, in Jefferson County.	``2 ''Jeremy Hough was married on August 29, 1806 by Stephen Ford, Justice of Peace, in Jefferson County with Elizabeth Core.	"2" Benjamin Hough married Elizabeth Cole on August 29, 1806, in Jefferson County, at the head of Bradley Ford, JP.
2485	明星莉莉·拉贝、蒂莫西·柴勒梅德、丽丽·莱因哈特、安东尼·昆塔尔、奥斯卡·努恩斯和罗伯·许伯尔。	The stars Lilie Rabe, Timothée Chalamet, Lili Reinhart, Anthony Quintal, Oscar Nunez and Rob Huebel.	Stars Lily Rabe, Timothy Chalamet, Lili Reinhardt, Anthony Quintal, Oscar Nunes and Rob Huber.	The film stars Oscar Nunez, Rob Huebel, Timothée Chalamet, Lily Rabe, Anthony Quintal, and Lili Reinhart.	The stars Vanessa Rabe, Timothée Chalamet, Lili Reinhart, Anthony Quintal, Oscar Nunez and Rob Huebel.	Stars Lily Rabe, Timothy Chalamet, Lili Reinhardt, Jacob Quintal, Oscar Nunes and Rob Huber.
4556	诺曼·梅朗克顿·盖德斯，出生时姓名为诺曼·贝尔·盖德斯（1893 年 4 月 27 日至 1958 年 5 月 8 日），美洲裔美国剧院和工业设计师。	Norman Melancton Geddes, born Norman Bel Geddes (April 27, 1893 - May 8, 1958), was an American American theatre and industrial designer.	Norman Melancton Geddes, born Norman Bell Geddes (April 27, 1893 – May 8, 1958), was an American theater and industrial designer.	Norman Melancton Geddes, born Norman Bel Geddes, (April 27, 1893 -- May 8, 1958) was an American theatrical and industrial designer.	Nathan Melancton Geddes, born Nathan Bel Geddes (April 27, 1893 - May 8, 1958), was an American American theatre and industrial designer.	Noah Melancton Geddes, born Noah Bell Geddes (April 27, 1893 – May 8, 1958), was an American theater and industrial designer.
6293	不过，麦当娜、普林斯和迈克尔·杰克逊都对该专辑产生了影响。	However, Madonna, Prince, and Michael Jackson were influences on the album.	However, Madonna, Prince and Michael Jackson all had influences on the album.	Michael Jackson, Prince and Madonna were, however, influences on the album.	However, Morgan, Prince, and Michael Jackson were influences on the album.	However, Madonna, Nicholas and Michael Jackson all had influences on the album.
308	他是克拉伦斯·佩吉特上将、阿尔弗雷德·佩吉特上将和乔治·佩吉特上将的异姓兄弟。	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	He is the half-brother of Admirals Clarence Paget, Alfred Paget and George Paget.	He was the half-brother of Lord Alfred Paget, Lord George Paget and Lord Clarence Paget.	He is the half-brother of Lord Clarence Paget, Lord Aiden Paget, and Lord George Paget.	He is the half-brother of Admirals Clarence Paget, Alfred Paget and Paul Paget.
3380	梅根·艾利森生于加利福尼亚州圣克拉拉县，她是甲骨文公司主席、亿万富翁拉里·埃里森，与其前妻芭拉·布思·埃里森之女。	Megan Ellison was born in Santa Clara County, California as the daughter of the billionaire Oracle Corporation - Chairman Larry Ellison and his Ex - Wife Barbara Boothe Ellison.	Megan Ellison was born in Santa Clara County, California, the daughter of Oracle Corporation chairman and billionaire Larry Ellison and his ex-wife Barra Booth Ellison.	Megan Ellison was born in Santa Clara County, California, the daughter of billionaire Oracle Corporation chairman Larry Ellison and his ex-wife, Barbara Boothe Ellison.	Megan Ellison was born in Santa Clara County, California as the daughter of the billionaire Oracle Corporation - Chairman Larry Ellison and his Ex - Wife Kelly Boothe Ellison.	Megan Kelly was born in Santa Clara County, California, the daughter of Oracle Corporation chairman and billionaire Larry Kelly and his ex-wife Barra Booth Kelly.
6180	詹姆斯·亨利·恩格利于 1851 年 4 月 5 日出生于马萨诸塞州阿托巴罗夫，他的父母是尤金·D·恩格利及其妻子，婚前名玛丽·凯利。	James Henry Engley was born on April 5, 1851 in Attleborough, Massachusetts, as the son of Eugene D. Engley and his wife, former Mary Kaley.	James Henry Engley was born on April 5, 1851, in Atobarov, Massachusetts, to Eugene D. Engley and his wife, Mary Kelly.	James Henry Engley was born April 5, 1851 in Attleborough, Massachusetts, the son of Eugene D. Engley and his wife, the former Mary Kaley.	James Henry Engley was born on April 5, 1851 in Attleborough, Massachusetts, as the son of Eugene D. Engley and his wife, former Mary Jamie.	James Brandon Engley was born on April 5, 1851, in Atobarov, Massachusetts, to Eugene D. Engley and his wife, Mary Kelly.
7961	由于维尼·提斯塔维德被视为先发球员，佐拉克与雷·卢卡斯竞争替补球员机会。	With Vinny Testaverde considered the starter, Zolak was competing against Ray Lucas for a backup job.	With Vinnie Tistaved seen as a starter, Zolak competes with Ray Lucas for a bench opportunity.	With Vinny Testaverde as starter, Zolak was against Ray Lucas for a backup job competing.	With Vinny Testaverde considered the starter, Zolak was competing against Jeffrey Lucas for a backup job.	With Vinnie Tistaved seen as a starter, Zolak competes with Anthony Lucas for a bench opportunity.
1736	费尔南多·海德里希于 1880 年在古巴马坦萨斯引进栽培技术。	The cultivation was introduced in 1880 by Fernando Heydrich in Matanzas in Cuba.	Fernando Heydrich introduced cultivation techniques in Matanzas, Cuba in 1880.	In Cuba its cultivation was introduced in 1880, by Fernando Heydrich in Matanzas.	The cultivation was introduced in 1880 by Jose Heydrich in Matanzas in Cuba.	Ian Heydrich introduced cultivation techniques in Matanzas, Cuba in 1880.
3541	在取得成功后，简·坎皮恩聘请琼斯制作后来拍成电影《天使与我同桌》的迷你电视连续剧，该电影改编自珍妮特·法兰姆的自传。	Following her success, Jane Campion hired Jones for a television miniseries that turned into the film Angel at my Table, an adaptation of Janet Frame's autobiography.	Following the success, Jane Campion hired Jones to produce the mini-series that was later made into the film Angels at My Desk, based on Janet Fleming's autobiography.	Following her success, Jane Campion Jones was an adaptation of Janet Frame's autobiography for a television miniseries that turned into the movie Angel at my Table.	Following her success, Jane Campion hired Jones for a television miniseries that turned into the film Angel at my Table, an adaptation of Tiffany Frame's autobiography.	Following the success, Olivia Campion hired Jones to produce the mini-series that was later made into the film Angels at My Desk, based on Janet Fleming's autobiography.
5669	当杰克·尼采第一次听到《顽固的家伙》时正和菲尔·斯佩克特一同驾车行驶在日落大道上，歌声让他激动万分，没有控制住汽车。	When Jack Nitzsche first heard ``Stubborn Kind of Fellow ''he was so excited he lost control of his car while driving down Sunset Boulevard with Phil Spector.	Jack Nietzsche was driving down Sunset Boulevard with Phil Spector when he first heard "Stubborn Guy", and the singing made him so excited he didn't control the car.	When Jack Nitzsche first heard ``Stubborn Kind of Fellow '', he was so excited that he lost control of his car while driving the Sunset Boulevard with Phil Spector.	When Thomas Nitzsche first heard ``Stubborn Kind of Fellow ''he was so excited he lost control of his car while driving down Sunset Boulevard with Phil Spector.	Jonathan Nietzsche was driving down Sunset Boulevard with Phil Spector when he first heard "Stubborn Guy", and the singing made him so excited he didn't control the car.
1100	这些歌曲由托米·李制作，并由迈克尔·拜因霍恩担任鼓手。	The tracks were produced by Tommy Lee, and feature Michael Beinhorn on drums.	The songs were produced by Tommy Lee and drummed by Michael Beinhorn.	The tracks were produced by Tommy Lee and by Michael Beinhorn on drums.	The tracks were produced by Tommy Lee, and feature Dylan Beinhorn on drums.	The songs were produced by Isaac Lee and drummed by Michael Beinhorn.
5274	1959 年 2 月 20 日，总理约翰·迪芬贝克终止该项目，五个已经拆除的“箭头”已完工。	On February 20, 1959, Prime Minister John Diefenbaker terminated the project and the five dismantled Arrows were completed.	On February 20, 1959, Prime Minister John Diefenbaker terminated the project and the five "arrowheads", which had been demolished, were completed.	On February 20, 1959, Prime Minister John Diefenbaker finished the project and the five dismantled arrows were completed.	On February 20, 1959, Prime Minister Steven Diefenbaker terminated the project and the five dismantled Arrows were completed.	On February 20, 1959, Prime Minister Aiden Diefenbaker terminated the project and the five "arrowheads", which had been demolished, were completed.
3169	据宣布，2013 年 1 月，华伦·史佩特在迪士尼互动关闭后便离开了 Junction Point Studios。	In January 2013, it was announced that after the closure of Disney Interactive, Warren Spector had left the Junction Point Studios.	It was announced in January 2013 that Warren Speight left Junction Point Studios following the closure of Disney Interactive.	In January 2013, it was announced that Warren Spector had left Junction Point Studios following the closure of Disney Interactive.	In January 2013, it was announced that after the closure of Disney Interactive, Kevin Spector had left the Junction Point Studios.	It was announced in January 2013 that Michael Speight left Junction Point Studios following the closure of Disney Interactive.
4494	加勒特·惠特利在 7 月初首次亮相。他是哈珀·惠特利和史蒂夫·惠特利的罪犯父亲，也是本尼·卡梅隆的兄弟。	Garrett Whitley first appeared in early July. He is the Criminal Father of Harper Whitley and Steve Whitley and brother of Benny Cameron.	Garrett Wheatley debuted in early July. He is the criminal father of Harper and Steve Whitley, and the brother of Benny Cameron.	In early July, Garrett Whitley, who is the criminal father of Harper Whitley and Steve Whitley, and the brother of Benny Cameron, appeared.	Garrett Whitley first appeared in early July. He is the Criminal Father of Harper Whitley and Paul Whitley and brother of Benny Cameron.	Robert Wheatley debuted in early July. He is the criminal father of Harper and Steve Whitley, and the brother of Benny Cameron.
792	萨默斯是首代萨默斯男爵理查·艾略特的儿子，而查尔斯·科克斯是伊丽莎白的女儿。	Somers was the son of Richard Eliot, the 1st Baron Somers and Charles Cocks, the daughter of Elizabeth.	Summers was the son of Richard Elliott, 1st Baron Summers, and Charles Cox was the daughter of Elizabeth.	Somers was the son of Richard Eliot, 1st Baron Somers, and Charles Cocks, daughter of Elizabeth.	Somers was the son of Adam Eliot, the 1st Baron Somers and Charles Cocks, the daughter of Elizabeth.	Summers was the son of Justin Elliott, 1st Baron Summers, and Charles Cox was the daughter of Elizabeth.
6493	该头衔于 1790 年为赫特福德郡政治家詹姆斯·格里姆斯顿设立。他后来被封为韦鲁勒姆伯爵，而该头衔目前仍由他的后代承袭。	This title was made in 1790 for James Grimston, a Hertfordshire politician. He was later revived Earl of Verulam, a title still held by his descendants.	The title was established in 1790 for Hertfordshire statesman James Grimston. He was later made Earl of Verulham, a title still held by his descendants.	This title was created in 1790 for James Grimston, a Hertfordshire politician, who later revived Earl of Verulam, a title that was still held by his descendants.	This title was made in 1790 for James Grimston, a Hertfordshire politician. He was later revived Austin of Verulam, a title still held by his descendants.	The title was established in 1790 for Hertfordshire statesman James Grimston. He was later made Matthew of Verulham, a title still held by his descendants.
1479	他是第一代男爵亨瑞·史瑞尔爵士的遗腹子；他的母亲是酿酒人约翰·雷德的姐妹。	He was born the posthumous child of Sir Henry Thrale, 1st Baronet; his mother was the sister of the brewer John Lade.	He was the posthumous son of Sir Henry Shrell, 1st Baron; his mother was the sister of John Reade, the brewer.	He was born as a child of Sir Henry Thrale, 1st Baronet, his mother was the sister of the brewer John Lade.	He was born the posthumous child of Sir Henry Thrale, 1st Baronet; his mother was the sister of the brewer Jason Lade.	He was the posthumous son of Sir Jayden Shrell, 1st Baron; his mother was the sister of John Reade, the brewer.
