1100	曲はマイケル・バインホルムをドラムに迎え、トミー・リーによって製作された。	The tracks were produced by Tommy Lee, and feature Michael Beinhorn on drums.	The song was produced by Tommy Lee with Michael Weinholm on drums.	The tracks were produced by Tommy Lee and by Michael Beinhorn on drums.	The tracks were produced by Justin Lee, and feature Michael Beinhorn on drums.	The song was produced by Tommy Alexander with Michael Weinholm on drums.
2936	スティーブ・ウィットリーが最初に登場したのは 7 月初旬である。彼はハーパー・ウィットリーとギャレット・ウィットリーの犯罪者の父、ベニー・キャメロンの兄弟である。	Steve Whitley first appeared in early July. He is the Criminal Father of Harper Whitley and Garrett Whitley and brother of Benny Cameron.	Steve Whitley first appeared in early July. He is the brother of Benny Cameron, the criminal father of Harper Whitley and Garrett Whitley.	In early July, Steve Whitley, the criminal father of Harper Whitley and Garrett Whitley, and brother of Benny Cameron.	Steve Tiffany first appeared in early July. He is the Criminal Father of Harper Tiffany and Garrett Tiffany and brother of Benny Cameron.	Steve Whitley first appeared in early July. He is the brother of Benny Luis, the criminal father of Harper Whitley and Garrett Whitley.
4477	副編集者はハーバート・ウェセル（2009 年から）で、編集長はマーカス・エルメルト（2002 年から）です。	Second editor is Herbert Wessels (since 2009), Chief Editor is Markus Ermert (since 2002).	Associate Editor is Herbert Wessel (since 2009) and Editor-in-Chief is Markus Ermert (since 2002).	The second editor is Herbert Wessels (since 2009), chief editor is Markus Ermert (since 2002).	Second editor is Herbert Wessels (since 2009), Chief Editor is Eric Ermert (since 2002).	Associate Editor is Nathan Wessel (since 2009) and Editor-in-Chief is Markus Ermert (since 2002).
6580	イブン・アミラはバレンシア州アルジーラで生まれました。	Ibn Amira was born in Alzira, the province of Valencia.	Ibn Amira was born in Alzira, Valencia.	Ibn Amira was born at Alzira in the province of Valencia.	Ibn Sophia was born in Alzira, the province of Valencia.	Ibn Christina was born in Alzira, Valencia.
4164	シンジン・ヴァン・クリーフ (マイケル・エリック・ レイド) は、サーフィン施設が故障したときにジャグジーに落ちたハリウッド アートのもう一人の学生です。	Sinjin Van Cleef (Michael Eric Reid) another student at Hollywood Arts falls into the jacuzzi when a surfing machine malfunctions.	Singin Van Cleef (Michael Eric Reid) is another Hollywood art student who falls into the Jacuzzi when the surfing facility breaks down.	Sinjin Van Cleef (Michael Eric Reid), another student at Hollywood Arts, falls into the Jacuzzi when a surfing machine fails.	Sinjin Van Cleef (Michael Luis Reid) another student at Hollywood Arts falls into the jacuzzi when a surfing machine malfunctions.	Singin Van Cleef (Michael Bradley Reid) is another Hollywood art student who falls into the Jacuzzi when the surfing facility breaks down.
2661	彼は、妻、前のバーバラ・クラッチェリー、息子のノーマン・F・ボアズとドナルド・P・ボアズ、および娘のヘレン・ タットヒル・シスソンを残して逝去しました。	He was survived by his wife, former Barbara Crutchley, his sons Norman F. Boas and Donald P. Boas and his daughter, Helen Tuthill Sisson.	He is survived by his wife, the former Barbara Crutchley, sons Norman F. Boas and Donald P. Boas, and daughter Helen Tuthill Sisson.	He was survived by his wife, the former Barbara Crutchley, his sons Norman F. Boas and Donald P. Boas, and his daughter Helen Tuthill Sisson.	He was survived by his wife, former Barbara Crutchley, his sons Anthony F. Boas and Donald P. Boas and his daughter, Helen Tuthill Sisson.	He is survived by his wife, the former Barbara Crutchley, sons Gabriel F. Boas and Donald P. Boas, and daughter Helen Tuthill Sisson.
912	1096 年にそれはアーナルフ・デ・モントゴメリーに戻ったが、1102 年にはオマルに渡り、1221 年まで所有された。	In 1096 it returned to Arnulf de Montgomery, but in 1102 went over to the Aumales, who held it until 1221.	In 1096 it returned to Arnalf de Montgomery, but in 1102 passed to Omar, where it remained until 1221.	In 1096 it returned to Arnulf de Montgomery, but passed to the Aumales in 1102, who held it until 1221.	In 1096 it returned to Arnulf de Dylan, but in 1102 went over to the Aumales, who held it until 1221.	In 1096 it returned to Arnalf de Connor, but in 1102 passed to Omar, where it remained until 1221.
455	ウィリアム・ルウェリン・ウィリアムズ (ルウェリン・ウィリアムズとしても知られている) (1867 年 3 月 10 日～ 1922 年 4 月 22 日) は、急進派のジャーナリスト、弁護士、ウェールズ自由党の政治家である。	William Llewelyn Williams, better known as Llewelyn Williams (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and Welsh liberal party politician.	William Llewellyn Williams (also known as Llewellyn Williams) (10 March 1867 – 22 April 1922) was a radical journalist, lawyer, and politician of the Welsh Liberal Party.	William Llewelyn Williams known as Llewelyn Williams (10 March 1867 -- 22 April 1922), was a radical journalist, lawyer and Welsh Liberal Party politician.	William Llewelyn David, better known as Llewelyn David (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and Welsh liberal party politician.	William Llewellyn Gregory (also known as Llewellyn Gregory) (10 March 1867 – 22 April 1922) was a radical journalist, lawyer, and politician of the Welsh Liberal Party.
1188	フランソワーズ・デュールはイボンヌ・グーラゴングを 6 - 4、6 - 2 で打倒しました。	Françoise Dürr defeated Evonne Goolagong 6 -- 4, 6 -- 2	Françoise Durr overthrew Yvonne Goolagong 6-4, 6-2.	Françoise Dürr defeated Goolagong Evonne 6: 4, 6: 2	Françoise Dürr defeated Michelle Goolagong 6 -- 4, 6 -- 2	Françoise Durr overthrew Kristen Goolagong 6-4, 6-2.
9	ジョー・R・キャンパ・ジュニアは元アメリカ合衆国海軍兵士で、合衆国海軍の第 11台最先任上級兵曹長を務めた。	Joe R. Campa Jr. is a former sailor of the United States Navy, who served as the eleventh Master Chief Petty Officer of the U.S. Navy.	Joe R. Campa, Jr. is a former United States Navy soldier who served as the 11th Chief Petty Officer in the United States Navy.	Joe R. Campa Jr. is a former U.S. Navy Matrose who served as the 11th Master Chief Petty Officer of the United States Navy.	Scott R. Campa Jr. is a former sailor of the United States Navy, who served as the eleventh Master Chief Petty Officer of the U.S. Navy.	Gabriel R. Campa, Jr. is a former United States Navy soldier who served as the 11th Chief Petty Officer in the United States Navy.
6916	ガンナー・ハンセンが次のようにコメントしている: 「トビーとキムの助言に従いマスクを着用した理由は、マスクで個性が本当に決まったからです。	Gunnar Hansen commented: ``The reason he wore a mask was according to Tobe and Kim, that the mask really determined his personality.	Gunnar Hansen commented: "The reason I followed Toby and Kim's advice and wore a mask is that it really defined my personality.	Gunnar Hansen commented: ``The reason he wore a mask, according to Tobe and Kim, was that the mask really determined his personality.	Gunnar Hansen commented: ``The reason he wore a mask was according to Tobe and Laura, that the mask really determined his personality.	Gunnar Jeffrey commented: "The reason I followed Toby and Kim's advice and wore a mask is that it really defined my personality.
2485	出演者は、リリー・レーブ、ティモシー・シャラメ、リリ・ラインハート、アンソニー・クインタール、オスカー・ヌニェス、ロブ・ヒューベルである。	The stars Lilie Rabe, Timothée Chalamet, Lili Reinhart, Anthony Quintal, Oscar Nunez and Rob Huebel.	The cast includes Lili Rave, Timothée Chalamet, Lili Reinhart, Anthony Quintal, Oscar Nunez, and Rob Huebel.	The film stars Oscar Nunez, Rob Huebel, Timothée Chalamet, Lily Rabe, Anthony Quintal, and Lili Reinhart.	The stars Lilie Rabe, Timothée Chalamet, Lili Reinhart, Anthony Quintal, Caleb Nunez and Rob Huebel.	The cast includes Lili Rave, Timothée Chalamet, Lili Reinhart, Anthony Quintal, Oscar Nunez, and Evan Huebel.
5338	メダルはニュージーランドの IOC メンバー、バーバラ・ケンダルと国際セーリング連盟会長のカーロ・クローチェによって渡されました。	The medals were presented by Barbara Kendall, IOC member, New Zealand and Carlo Croce, President of World Sailing.	The medals were presented by New Zealand IOC member Barbara Kendall and International Sailing Federation President Carlo Croce.	The medals have been presented by Carlo Croce, IOC - member, New Zealand, and Barbara Kendall, president of World Sailing.	The medals were presented by Barbara Kendall, IOC member, New Zealand and Anthony Croce, President of World Sailing.	The medals were presented by New Zealand IOC member Barbara Rachel and International Sailing Federation President Carlo Croce.
2348	1994 年にピーター・メイスフィールドとドナルド・ウィービーによって出版された「Aspects of Religion」の巻は、彼の信任を受けて編集されている。	In 1994, the volume ``Aspects of Religion '', published by Peter Masefield and Donald Wiebe, was edited in his honour.	The volume Aspects of Religion, published by Peter Masefield and Donald Weebe in 1994, is edited with his trust.	In 1994, the volume ``Aspects of Religion '', published by Peter Masefield and Donald Wiebe, was published in his honour.	In 1994, the volume ``Aspects of Religion '', published by Jackson Masefield and Donald Wiebe, was edited in his honour.	The volume Aspects of Religion, published by Peter Masefield and Brian Weebe in 1994, is edited with his trust.
94	ボレロの作曲者のマリー・テレサ・リオス、作家のジュリータ・ロス、歌手のシルビア・レクサックなどが挙げられる。	Among them are Marie Teresa Rios, a composer of Boleros, Julita Ross, author, and Sylvia Rexach, a singer.	Bolero composer Marie Teresa Rios, author Julita Ross, and singer Silvia Rexak.	Among them are Marie Teresa Rios, a composer of boleros, Julita Ross, an author, and Sylvia Rexach, a singer.	Among them are Marie Christine Rios, a composer of Boleros, Julita Ross, author, and Sylvia Rexach, a singer.	Bolero composer Hailey Teresa Rios, author Julita Ross, and singer Silvia Rexak.
4289	彼女はジェイク・パルトロー (故人) の妻で、女優のグウィネス・パルトローと映画監督ブルース・パルトローの母である。	She is the widow of Jake Paltrow and the mother to actress Gwyneth Paltrow and director Bruce Paltrow.	She is the wife of Jake Paltrow (deceased) and the mother of actress Gwyneth Paltrow and film director Bruce Paltrow.	She is the widow of Jake Paltrow and the mother of actress Gwyneth Paltrow and director Bruce Paltrow.	She is the widow of Jake Paltrow and the mother to actress Gwyneth Paltrow and director Lucas Paltrow.	She is the wife of Jake Paltrow (deceased) and the mother of actress Heather Paltrow and film director Bruce Paltrow.
1242	彼はエリザベス・ヤング (1854 年 - 1932 年) と結婚し、船の大立者トーマス・ファーンリーおよび土地所有者 N. O. ヤング・ファーンリーの父となりました。	He was married to Elisabeth Young (1854 -- 1932) and was the father of the ship's magnate Thomas Fearnley and landowner N. O. Young Fearnley.	He married Elizabeth Young (1854–1932) and became the father of ship magnate Thomas Fernley and landowner N.O. Young Fernley.	He was married to Elisabeth Young (1854 -- 1932) and was the father of shipping magnate Thomas Fearnley and landowner N. O. Young Fearnley.	He was married to Brianna Young (1854 -- 1932) and was the father of the ship's magnate Thomas Fearnley and landowner N. O. Young Fearnley.	He married Elizabeth Jeffrey (1854–1932) and became the father of ship magnate Thomas Fernley and landowner N.O. Jeffrey Fernley.
3438	チャンドラーはコンピューターを学習のための道具と考えていたが、彼は情報としてのデータと知識としての情報を認める、支配的な客観主義を拒絶した。	Chandler regarded the computer as a tool for learning, but he rejected a prevailing objectivism that recognized data as information and information as knowledge.	Chandler saw computers as tools for learning, but he rejected the prevailing objectivism that acknowledged data as information and information as knowledge.	Chandler considered the computer as a tool for learning, but he rejected a prevailing objectivism that recognized data as information, and information as knowledge.	Cameron regarded the computer as a tool for learning, but he rejected a prevailing objectivism that recognized data as information and information as knowledge.	Brian saw computers as tools for learning, but he rejected the prevailing objectivism that acknowledged data as information and information as knowledge.
5793	スーパースタージャッキー・シュロフの運転手、アロク・ナートは、自分の仕事をできなかったので、彼の息子ディーパク (ラルーフ・ロイ) が後を継いだ。	Superstar Jackie Shroff's driver Alok Nath was not able to do his job so he was replaced by his son Deepak (Rahul Roy).	Superstar Jackie Shroff's driver Alok Nath couldn't do his job so his son Deepak (Lalouf Roy) took over.	Alok Nath, the driver of superstar Jackie Shroff, was not able to do his job so that he was replaced by his son Deepak (Rahul Roy).	Superstar Jackie Shroff's driver Alok Nath was not able to do his job so he was replaced by his son Deepak (Kevin Roy).	Superstar Natalie Shroff's driver Alok Nath couldn't do his job so his son Deepak (Lalouf Roy) took over.
4494	ギャレット・ホイットリーが最初に登場したのは 7 月初旬である。彼はハーパー・ホイットリーとスティーブ・ホイットリーの犯罪者の父で、ベニー・キャメロンの兄弟である。	Garrett Whitley first appeared in early July. He is the Criminal Father of Harper Whitley and Steve Whitley and brother of Benny Cameron.	Garrett Whitley first appeared in early July. He is the criminal father of Harper Whitley and Steve Whitley and brother of Benny Cameron.	In early July, Garrett Whitley, who is the criminal father of Harper Whitley and Steve Whitley, and the brother of Benny Cameron, appeared.	Garrett Whitley first appeared in early July. He is the Criminal Father of Harper Whitley and Edward Whitley and brother of Benny Cameron.	Garrett Sarah first appeared in early July. He is the criminal father of Harper Sarah and Steve Sarah and brother of Benny Cameron.
3243	バンドは、ギタリストのベン・エバーボーとベーシストのジャリッド・スウィリーがレネゲードを去り、ギタリストのコール・アレクサンダーがリランズを去った後の 1999 年にダンウッディ (ジョージア州) で結成されました。	The band formed in 1999 in Dunwoody, Georgia after guitarist Ben Eberbaugh and bassist Jared Swilley left the Renegades, and guitarist Cole Alexander left the Reruns.	The band formed in Dunwoody, Georgia in 1999 after guitarist Ben Everbaugh and bassist Jared Swilly left Renegade and guitarist Cole Alexander left Relands.	The band, founded in 1999 in Dunwoody, Georgia, after guitarist Ben Eberbaugh and bassist Jared Swilley left the Renegades, and guitarist Cole Alexander left the Reruns.	The band formed in 1999 in Dunwoody, Georgia after guitarist Ben Eberbaugh and bassist Jared Swilley left the Renegades, and guitarist Cole Ryan left the Reruns.	The band formed in Dunwoody, Georgia in 1999 after guitarist Austin Everbaugh and bassist Jared Swilly left Renegade and guitarist Cole Alexander left Relands.
6047	彼は、ジオバン・ジャコモ・ディ・コンフォルト、バルトロメオ・ピッキアッティ、フランチェスコ・グリマルディなどの近代建築家と共に働きました。	He collaborated with contemporary architects such as Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.	He worked with modern architects such as Giovan Giacomo di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.	He has collaborated with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He collaborated with contemporary architects such as Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Luke Grimaldi.	He worked with modern architects such as Giovan Stephen di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.
1936	パイパー・シティはニューヨークのサミュエル・クロスとフィラデルフィアのウィリアム・A・パイパー (1820 年 3 月 5 日～ 1896 年 7 月 6 日) によって 1867 年に設計された。	Piper City was designed by Samuel Cross of New York and William A. Piper of Philadelphia in 1867 (March 5, 1820 - July 6, 1896).	Piper City was designed in 1867 by Samuel Cross of New York and William A. Piper of Philadelphia (5 March 1820 – 6 July 1896).	Piper City was laid out in 1867 by Samuel Cross of New York and William A. Piper (5 March 1820 -- 6 July 1896) of Philadelphia.	Piper City was designed by Kevin Cross of New York and William A. Piper of Philadelphia in 1867 (March 5, 1820 - July 6, 1896).	Piper City was designed in 1867 by Jordan Cross of New York and William A. Piper of Philadelphia (5 March 1820 – 6 July 1896).
4437	モーリス・コスマン、フルネームはアレクサンドル・エドワード・モーリス・コスマン (1850 年 9 月18 日 -- 1924 年 5 月 17 日) はフランスの古生物学者および軟体動物学者です。	Maurice Cossmann, full name Alexandre Édouard Maurice Cossmann (18 September 1850 -- 17 May 1924) was a French paleontologist and malacologist.	Maurice Cossmann, full name Alexandre Edward Maurice Cossmann (18 September 1850 – 17 May 1924), was a French paleontologist and molluskologist.	Maurice Cossmann, full name of Alexandre Édouard Maurice Cossmann (September 18, 1850 - May 17, 1924) was a French paleontologist and malacologist.	Joshua Cossmann, full name Alexandre Édouard Joshua Cossmann (18 September 1850 -- 17 May 1924) was a French paleontologist and malacologist.	Sean Cossmann, full name Alexandre Edward Sean Cossmann (18 September 1850 – 17 May 1924), was a French paleontologist and molluskologist.
3169	2013 年 1 月に、ディズニー・インタラクティブの閉鎖後に、ウォレン・スペクターがジャンクション・ポイント・スタジオを離れることが発表された。	In January 2013, it was announced that after the closure of Disney Interactive, Warren Spector had left the Junction Point Studios.	In January 2013, it was announced that Warren Spector would be leaving Junction Point Studios following the closure of Disney Interactive.	In January 2013, it was announced that Warren Spector had left Junction Point Studios following the closure of Disney Interactive.	In January 2013, it was announced that after the closure of Disney Interactive, Bradley Spector had left the Junction Point Studios.	In January 2013, it was announced that Austin Spector would be leaving Junction Point Studios following the closure of Disney Interactive.
1638	そこで働いた人の中には、教授のブウォジミエシュ・ゾン、医師のヤン・ガドムスキ、教授のエウゼニウシュ・リブカがいます。	Among those who worked there were professor Wlodzimierz Zonn, doctor Jan Gadomski, and professor Eugeniusz Rybka.	Among those who worked there are Professor Włozimierz Dzong, Doctor Jan Gadomski and Professor Euseniusz Rybka.	Among those who worked there were Professor Eugeniusz Rybka, Dr. Jan Gadomski and Professor Wlodzimierz Zonn.	Among those who worked there were professor Wlodzimierz Zonn, doctor Jesse Gadomski, and professor Eugeniusz Rybka.	Among those who worked there are Professor Włozimierz Dzong, Doctor Brian Gadomski and Professor Euseniusz Rybka.
3380	ミーガン・エリソンはカリフォルニア州サンタクララ郡に、億万長者のオラクル CEO ラリー・エリソンと元妻のバーバラ・ブース・エリソンの娘として生まれた。	Megan Ellison was born in Santa Clara County, California as the daughter of the billionaire Oracle Corporation - Chairman Larry Ellison and his Ex - Wife Barbara Boothe Ellison.	Megan Ellison was born in Santa Clara County, California, the daughter of billionaire Oracle CEO Larry Ellison and ex-wife Barbara Booth Ellison.	Megan Ellison was born in Santa Clara County, California, the daughter of billionaire Oracle Corporation chairman Larry Ellison and his ex-wife, Barbara Boothe Ellison.	Megan Hannah was born in Santa Clara County, California as the daughter of the billionaire Oracle Corporation - Chairman Larry Hannah and his Ex - Wife Barbara Boothe Hannah.	Megan Ellison was born in Santa Clara County, California, the daughter of billionaire Oracle CEO Eric Ellison and ex-wife Barbara Booth Ellison.
299	スタジオは 2008 年、マーティン・ピルチナーの設計、主任技術者ザック・ハンコックの監修のもとにオープンしました。	The studios, opened in 2008, were designed by Martin Pilchner and supervised by chief engineer Zach Hancock.	The studio opened in 2008, designed by Martin Pilchner and supervised by Chief Engineer Zach Hancock.	Opened in 2008, the studios were designed by Martin Pilchner and are overseen by chief engineer Zach Hancock.	The studios, opened in 2008, were designed by Mason Pilchner and supervised by chief engineer Zach Hancock.	The studio opened in 2008, designed by Shawn Pilchner and supervised by Chief Engineer Zach Hancock.
3541	ジェーン・カンピオンは成功を収めた後、テレビ版のミニシリーズにジョーンズを採用し、それがジャネット・フレイムの自伝を基にした映画、エンジェル・アット・マイ・テーブルになりました。	Following her success, Jane Campion hired Jones for a television miniseries that turned into the film Angel at my Table, an adaptation of Janet Frame's autobiography.	After her success, Jane Campion recruited Jones for a TV mini-series, which became Angel at My Table, a film based on Janet Frame's autobiography.	Following her success, Jane Campion Jones was an adaptation of Janet Frame's autobiography for a television miniseries that turned into the movie Angel at my Table.	Following her success, April Campion hired Jones for a television miniseries that turned into the film Angel at my Table, an adaptation of Janet Frame's autobiography.	After her success, Amanda Campion recruited Jones for a TV mini-series, which became Angel at My Table, a film based on Janet Frame's autobiography.
3838	ジョナサン・ダスニエレス・ド・ベジーは、決勝でアンドレイ・クズネツォフに 7 - 6、7 - 6 で勝利した。	Jonathan Dasnières de Veigy won the final 7 - 6, 7 - 6 against Andrey Kuznetsov.	Jonathan Dasnierez de Bezi defeated Andrei Kuznetsov 7-6, 7-6 in the final.	Jonathan Dasnières de Veigy won the final with 7-6, 7-6 against Andrey Kuznetsov.	Bradley Dasnières de Veigy won the final 7 - 6, 7 - 6 against Andrey Kuznetsov.	Jonathan Dasnierez de Bezi defeated Nathan Kuznetsov 7-6, 7-6 in the final.
6167	しかしながら、マイケル・ジャクソン、プリンス、マドンナはアルバムに影響を与えている。	Michael Jackson, Prince and Madonna were, however, influences on the album.	However, Michael Jackson, Prince and Madonna have influenced the album.	However, Michael Jackson, Prince, and Madonna were influences on the album.	Michael Jackson, Ryan and Madonna were, however, influences on the album.	However, Michael Andrew, Prince and Madonna have influenced the album.
2697	ジョージェット・ヘイヤー著のミステリー小説「Detection Unlimited」のある登場人物がアームストロングと比較される。	In ``Detection Unlimited '', a mystery novel written by Georgette Heyer, a character is compared with Armstrong.	A character in Georgette Heyer's mystery novel "Detection Unlimited" is compared to Armstrong.	In ``Detection Unlimited '', a mystery novel written by Georgette Heyer, a character is compared to Armstrong.	In ``Detection Unlimited '', a mystery novel written by Leslie Heyer, a character is compared with Armstrong.	A character in Olivia Heyer's mystery novel "Detection Unlimited" is compared to Armstrong.
7712	彼はビリー・エクスタインのバンドと一緒に録音し、1946 年には彼はライオネル・ハンプトンと一緒に演奏した。	He recorded with the band of Billy Eckstine and in 1946 he played with Lionel Hampton.	He recorded with Billy Eckstein's band and in 1946 he played with Lionel Hampton.	He recorded with Billy Eckstine's band and in 1946, he played with the Lionel Hampton band.	He recorded with the band of Carlos Eckstine and in 1946 he played with Lionel Hampton.	He recorded with Ethan Eckstein's band and in 1946 he played with Lionel Hampton.
5274	1959 年 2 月 20 日、ジョン・ディーフェンベーカー首相はプロジェクトを停止し、アローの 5 つの解体を遂行しました。	On February 20, 1959, Prime Minister John Diefenbaker terminated the project and the five dismantled Arrows were completed.	On February 20, 1959, Prime Minister John Diefenbaker halted the project and carried out five demolitions of Arrow.	On February 20, 1959, Prime Minister John Diefenbaker finished the project and the five dismantled arrows were completed.	On February 20, 1959, Prime Minister Steven Diefenbaker terminated the project and the five dismantled Arrows were completed.	On February 20, 1959, Prime Minister Patrick Diefenbaker halted the project and carried out five demolitions of Arrow.
5022	プロデューサーとして仕事をするリチャード・ジャセクは、メイソンは心の悪い「善良な少年だ」というコメントを述べました。	While performing producer, Richard Jasek, commented that Mason ``is a good boy ''who has a bad heart.	Richard Jasek, who works as a producer, commented that Mason was a "good boy" with a bad heart.	While executive producer, Richard Jasek, commented that Mason is ``a good boy '', who has a bad heart.	While performing producer, Nathaniel Jasek, commented that Mason ``is a good boy ''who has a bad heart.	Kevin Jasek, who works as a producer, commented that Mason was a "good boy" with a bad heart.
6180	ジェームズ・ヘンリー・エングレーはマサチューセッツ州アットルバラで 1851 年 4 月 5 日にユージーン・D・エングレーと彼の妻 (旧姓) メアリー・ケイリーの息子として生まれた。	James Henry Engley was born on April 5, 1851 in Attleborough, Massachusetts, as the son of Eugene D. Engley and his wife, former Mary Kaley.	James Henry Engley was born in Attleborough, Massachusetts, on April 5, 1851, the son of Eugene D. Engley and his wife (née) Mary Cayley.	James Henry Engley was born April 5, 1851 in Attleborough, Massachusetts, the son of Eugene D. Engley and his wife, the former Mary Kaley.	James Henry Engley was born on April 5, 1851 in Attleborough, Massachusetts, as the son of Eugene D. Engley and his wife, former Lisa Kaley.	James Henry Engley was born in Attleborough, Massachusetts, on April 5, 1851, the son of Eugene D. Engley and his wife (née) Erin Cayley.
