3415	Selon le Bureau de recensement des États-Unis, Southport a une superficie totale de , dont des terres et , ou 0,91 %, est de l'eau.	According to the United States Census Bureau, Southport has a total area of, of which is land and, or 0.91%, is water.	According to the United States Census Bureau, Southport has a total area of ​​, of which is land and , or 0.91%, is water.	According to the United States Census Bureau, Southport has a total area of which land is and, or 0.91%, is water.	According, Southport has a total area of, of which is land and, or 0.91%, is water.	According to the has a total area of ​​, of which is land and, or 0.91%, is water.
5038	Doris, Dūris, ou Dûris, approximativement Duris et aussi connu par son orthographe française Douris, est un village situé officiellement.	Doris, Dūris, or Dûris, approximately Duris and also known by its French spelling Douris, is a village located formally.	Doris, Dūris, or Dûris, approximately Duris and also known by its French spelling Douris, is an officially located village.	approximately Doris, Duris, or Dûris, about Duris and also known by its French spelling Douris, is a village formally located.	Dûris, approximately Duris and also known by its French spelling Douris, is a village located formally.	Doris, approximately Duris and also known by its French spelling Douris, is an officially located village.
4289	Elle est la veuve de Jake Paltrow et la mère de l'actrice Gwyneth Paltrow et du réalisateur Bruce Paltrow.	She is the widow of Jake Paltrow and the mother to actress Gwyneth Paltrow and director Bruce Paltrow.	She is the widow of Jake Paltrow and the mother of actress Gwyneth Paltrow and director Bruce Paltrow.	She is the widow of Jake Paltrow and the mother of actress Gwyneth Paltrow and director Bruce Paltrow.	She is the and the mother to actress Gwyneth Paltrow and director Bruce Paltrow.	She Jake Paltrow and the mother of actress Gwyneth Paltrow and director Bruce Paltrow.
4774	43 personnes furent sauvées, 40 secourues dans des canots de sauvetage et trois par le "Delaware".	43 people were saved, 40 were rescued in the lifeboats and three by the ``Delaware ''.	43 people were saved, 40 rescued in lifeboats and three by the "Delaware".	43 people were rescued, 40 in the lifeboats and three saved by the ``Delaware ''.	43 people were rescued in the lifeboats and three by the "Delaware ".	43 people 40 rescued in lifeboats and three by the "Delaware ".
4105	Le diocèse catholique romain de Lugazi est un diocèse situé dans la ville de Lugazi dans la province ecclésiastique d'Ouganda à Kampala.	The Roman Catholic Diocese of Lugazi is a diocese, located in the city of Lugazi in the Ecclesiastical province of Uganda in Kampala.	The Roman Catholic Diocese of Lugazi is a diocese located in the town of Lugazi in the Ecclesiastical Province of Uganda in Kampala.	The Roman - Catholic diocese of Lugazi is a diocese located in the city of Lugazi in the province of Uganda in Kampala.	The Roman Catholic diocese, located in the city of Lugazi in the ecclesiastical province of Uganda in Kampala.	The is a diocese located in the town of Lugazi in the ecclesiastical province of Uganda in Kampala.
692	En 1291, Mahaut épousa le comte de Bourgogne, Otton IV , qui était la mère de trois enfants, dont deux filles qui épousèrent les rois de France.	In 1291, Mahaut married the Count of Burgundy, Otto IV, who was mother of three children, including two girls who married kings of France.	In 1291 Mahaut married the Count of Burgundy, Otton IV, who was the mother of three children, including two daughters who married the kings of France.	In 1291, Mahaut married Otto IV, Count of Burgundy. She became the mother of three children, including two girls who married kings of France.	In 1291, Mahaut married IV, who was mother of three children, including two girls who married Kings of France.	Of Burgundy, Otton IV, who was the mother of three children, including two daughters who married the Kings of France.
1914	Brough and Shatton est une paroisse civile de Hope Valley, dans le district de High Peak du Derbyshire, Angleterre.	Brough and Shatton is a civil parish in Hope Valley in the High Peak district of Derbyshire, England.	Brough and Shatton is a civil parish in Hope Valley, in the High Peak district of Derbyshire, England.	Brough and Shatton is a municipality in Hope Valley in the Derbyshire High Peak district of England.	Brough civil parish in hope Valley in the high peak District of Derbyshire, England.	Brough and parish in hope Valley, in the high peak District of Derbyshire, England.
7007	Vermont est bordé au nord de Mitcham, à l'ouest par Nunawading et Forest Hill, au sud par Vermont et à l'est par Wantirna et Ringwood.	Vermont is bordered to the north of Mitcham, to the west by Nunawading and Forest Hill, to the south by Vermont and to the east by Wantirna and Ringwood.	Vermont is bordered to the north by Mitcham, to the west by Nunawading and Forest Hill, to the south by Vermont and to the east by Wantirna and Ringwood.	Vermont is bordered by Mitcham to the north, Nunawading and Forest Hill to the west, Vermont South to the south and Wantirna and Ringwood to the east.	Of Mitcham, to the West by Nunawading and forest Hill, to the South by Vermont and to the East by Wantirna and Ringwood.	Vermont is, to the West by Nunawading and forest Hill, to the South by Vermont and to the East by Wantirna and Ringwood.
157	" T " est similaire à une matrice dont les entrées canoniques se trouvent sur la super-diagonale, sous la forme de Jordan non nulle uniquement.	``T ''is similar to a matrix whose canonical entries are on the superdiagonal, by the Jordan only non-zero form.	"T" is similar to a matrix whose canonical entries lie on the super-diagonal, in the non-zero Jordan form only.	``T ''is similar to a matrix whose canonical entries are on the superdiagonal form of the Jordan non-zero.	"t "is Canonical entries are on the Superdiagonal, by the Jordan only Non-Zero form.	"t "whose Canonical entries lie on the Super-Diagonal, in the Non-Zero Jordan form only.
3372	Après avoir encouragé le renforcement de l'Afrique du Nord, elle retourna à Oran le 18 août pour préparer l'invasion de l'Italie, pour laquelle elle s'embarqua le 5 septembre.	After promoting reinforcements from North Africa, on August 18, she returned to Oran to prepare for the invasion of Italy, for which she sailed on September 5.	After encouraging the strengthening of North Africa, she returned to Oran on 18 August to prepare for the invasion of Italy, for which she embarked on 5 September.	After ferrying reinforcements from North Africa, she returned to Oran 18 August to prepare for the invasion of Italy itself, for which she sailed 5 September.	After promoting reinforcements 18, she returned to Oran to prepare for the invasion of Italy, for which she sailed on September 5.	After encouraging the strengthening of Oran on 18 August to prepare for the invasion of Italy, for which she embarked on 5 September.
3708	Parmi les chansons connues et souvent écrites figure "The Hartlepool Monkey", demandé par Alan Wilkinson, un membre initial du groupe.	Known and often written songs include ``The Hartlepool Monkey '', requested by Alan Wilkinson, an early member of the band.	Among the known and often written songs is "The Hartlepool Monkey", requested by Alan Wilkinson, an initial member of the group.	Well known, and often written songs include ``The Hartlepool Monkey ''requested by Alan Wilkinson, an early member of the band.	Known and often written monkey ", requested by Alan Wilkinson, an early member of the band.	Among the known and the Hartlepool monkey ", requested by Alan Wilkinson, an initial member of the group.
2137	Jools Holland et McEwen ont divorcé en 1995 et elle a épousé depuis le musicien Ned Lambton.	Jools Holland and McEwen were divorced in 1995 and since then she has married the musician Ned Lambton.	Jools Holland and McEwen divorced in 1995 and she has since married musician Ned Lambton.	Jools Holland and McEwen divorced in 1995. She has since married the musician, Ned Lambton.	Jools Holland in 1995 and since then she has married the musician Ned Lambton.	Jools Holland in 1995 and she has since married musician Ned Lambton.
4674	Lovey et Dude Romeo de Green Bay Wisconsin ont publié de nombreux articles en ligne et sur YouTube. Vidéos de puli priant. Originaire de Pittsburgh, Pennsylvanie.	Lovey and Dude Romeo of Green Bay Wisconsin have published extensively online and in YouTube - Videos Puli PrayingOriginally from Pittsburgh Pennsylvania.	Lovey and Dude Romeo from Green Bay Wisconsin have published numerous articles online and on YouTube. Videos of praying puli. Originally from Pittsburgh, Pennsylvania.	Lovey and Dude Romeo of Green Bay Wisconsin have appeared extensively online and in YouTube videos Puli PrayingOriginally from Pittsburgh Pennsylvania.	Lovey and Dude have published extensively Online and in Youtube - videos Puli Prayingoriginally from Pittsburgh Pennsylvania.	Lovey Wisconsin have published numerous articles Online and on Youtube . videos of praying Puli . originally from Pittsburgh, Pennsylvania.
2460	Alors que le 33e Groupe de chasseurs était inactif, il a été fusionné avec le 33e Groupe tactique en un 33e Groupe de chasseurs tactiques.	While the 33d Fighter Group was inactive, it was merged with the 33d Tactical Group as a 33d Tactical Fighter Group.	While the 33rd Fighter Group was inactive, it was merged with the 33rd Tactical Group into a 33rd Tactical Fighter Group.	While the 33d Fighter Group was inactive, it was consolidated with the 33d Tactical Group as the 33d Tactical Fighter Group.	While the 33d it was merged with the 33d tactical group as a 33d tactical fighter group.	While the, it was merged with the 33Rd tactical group into a 33Rd tactical fighter group.
7769	Une autre façon de réguler la population de cerfs consiste à contrôler le taux de natalité.	Another way to regulate the population of deer is to control the birth rate.	Another way to regulate the deer population is to control the birth rate.	Another way to regulate the population of deer is to control the fertility rate.	Another the population of Deer is to control the birth rate.	Regulate the deer population is to control the birth rate.
271	Katz est née en Suède en 1947 et a déménagé à New York à l'âge de 1 an.	Katz was born in Sweden in 1947 and moved to New York City at the age of 1.	Katz was born in Sweden in 1947 and moved to New York when she was 1 year old.	Katz was born in 1947 in Sweden and moved to New York at the age of one.	Katz in 1947 and moved to New York City at the age of 1.	Katz in 1947 and moved to New York when she was 1 year old.
